1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
475	-0.000000	220.671634	0.000000	8.3
476	-1.696165	220.442086	0.009083	8.3
477	-0.166303	220.213174	0.004822	9.9
478	-0.381996	219.984895	0.008947	10.5
479	-1.626814	219.757246	0.013805	10.4
480	-1.126450	219.530224	0.039364	9.3
481	-0.623011	219.303826	0.012152	8.5
482	-0.027027	219.078050	0.002191	8.9
483	-0.040148	218.852893	0.002609	7.8
484	-1.591092	218.628352	0.024131	8.6
485	-0.423853	218.404424	0.009986	8.4
486	-0.035124	218.181106	0.001129	9.7
487	-0.035493	217.958397	0.001553	33.7
488	-0.101524	217.736292	0.002676	17.0
489	-1.617854	217.514790	0.035732	17.1
490	-1.170659	217.293888	0.013564	19.7
491	-1.193700	217.073584	0.015418	15.5
492	-0.424390	216.853873	0.004869	17.2
493	-0.025751	216.634755	0.000971	8.8
494	-1.749401	216.416227	0.010984	9.3
495	-1.087058	216.198285	0.009547	8.1
496	-0.000339	215.980927	0.000062	8.1
497	-0.000000	215.764151	0.000000	9.3
498	-0.000120	215.547955	0.000028	7.7
499	-0.513380	215.332335	0.005358	8.8
500	-0.983110	215.117289	0.015478	8.0
501	-0.003464	214.902815	0.000200	9.9
502	-0.133868	214.688911	0.003468	9.2
503	-0.264202	214.475573	0.005788	8.7
504	-0.761946	214.262800	0.006399	10.2
505	-1.779853	214.050588	0.021391	8.6
506	-1.190655	213.838936	0.026901	10.8
507	-0.498049	213.627842	0.006239	9.5
508	-0.000000	213.417302	0.000000	7.6
509	-0.148040	213.207314	0.003889	9.5
510	-1.792365	212.997877	0.028492	7.3
511	-1.558485	212.788987	0.034568	8.6
512	-0.000000	212.580642	0.000000	7.8
513	-1.589083	212.372841	0.013879	10.4
514	-0.000006	212.165581	0.000002	9.8
515	-0.002145	211.958859	0.000324	8.8
516	-1.421566	211.752673	0.027302	9.1
517	-1.945652	211.547021	0.019290	9.1
518	-0.000000	211.341902	0.000000	8.8
519	-0.073496	211.137311	0.004766	9.3
520	-0.259905	210.933248	0.007000	7.9
521	-0.748275	210.729710	0.009488	9.4
522	-0.000000	210.526695	0.000000	8.4
523	-1.502119	210.324200	0.027940	9.3
524	-1.732364	210.122224	0.012461	8.2
525	-1.936114	209.920765	0.019989	8.9
526	-1.515783	209.719820	0.021196	9.8
527	-0.133020	209.519387	0.005786	8.0
528	-0.000000	209.319463	0.000000	8.7
529	-1.687447	209.120048	0.025574	8.8
530	-1.316980	208.921139	0.017698	9.5
531	-0.130859	208.722733	0.004840	9.2
532	-0.010468	208.524829	0.000986	8.2
533	-0.060163	208.327425	0.003156	10.0
534	-1.760730	208.130518	0.020421	8.5
535	-0.006482	207.934107	0.000939	8.5
536	-0.160813	207.738189	0.003362	8.5
537	-0.000000	207.542762	0.000000	7.1
538	-0.961283	207.347825	0.012296	9.3
539	-0.000000	207.153376	0.000000	8.0
540	-0.039233	206.959412	0.002115	9.1
541	-1.382141	206.765932	0.009699	8.1
542	-0.159788	206.572933	0.004792	9.1
543	-0.050382	206.380414	0.002146	13.1
544	-0.000000	206.188373	0.000000	8.2
545	-1.796296	205.996807	0.018247	8.7
546	-0.012872	205.805716	0.001256	7.9
547	-0.000000	205.615096	0.000000	11.5
548	-1.464756	205.424946	0.016748	10.6
549	-1.487629	205.235265	0.028057	7.6
550	-1.088362	205.046050	0.010638	8.9
551	-1.830702	204.857299	0.013920	7.6
552	-0.855642	204.669011	0.016975	8.0
553	-1.837980	204.481184	0.013061	8.9
554	-1.918925	204.293816	0.026380	7.6
555	-0.023441	204.106905	0.002783	10.1
556	-0.216871	203.920449	0.004678	7.8
557	-0.998858	203.734447	0.021344	8.6
558	-0.000000	203.548896	0.000000	9.3
559	-0.000003	203.363795	0.000001	10.1
560	-0.283799	203.179143	0.004988	10.1
561	-0.423104	202.994937	0.007020	8.8
562	-1.237509	202.811176	0.013064	9.0
563	-1.570839	202.627857	0.012672	8.3
564	-1.514094	202.444980	0.021184	8.8
565	-1.819761	202.262543	0.022181	8.2
566	-0.000000	202.080543	0.000000	7.8
567	-1.807319	201.898979	0.012582	10.7
568	-0.693037	201.717849	0.011061	10.7
569	-1.794877	201.537153	0.039349	8.5
570	-1.548937	201.356887	0.007298	9.3
571	-0.000053	201.177050	0.000013	8.6
572	-0.021948	200.997642	0.002111	9.3
573	-0.014066	200.818659	0.001060	11.1
574	-0.000012	200.640100	0.000003	11.1
575	-0.000000	200.461965	0.000000	9.4
576	-0.088259	200.284250	0.002513	13.2
577	-1.100218	200.106955	0.024397	7.9
578	-0.294922	199.930078	0.005611	9.8
579	-0.457845	199.753617	0.009178	10.2
580	-0.609705	199.577571	0.006752	8.4
581	-0.000000	199.401938	0.000000	8.6
582	-1.072227	199.226717	0.014821	9.2
583	-0.071799	199.051905	0.004838	11.2
584	-0.000361	198.877502	0.000085	11.7
585	-0.272393	198.703506	0.004564	7.8
586	-0.000233	198.529916	0.000050	8.6
587	-1.467027	198.356729	0.047603	21.5
588	-0.000002	198.183944	0.000000	16.5
589	-0.104243	198.011560	0.003284	8.3
590	-0.446568	197.839576	0.008083	9.9
591	-1.905537	197.667989	0.017687	16.7
592	-0.009919	197.496798	0.001142	9.6
593	-0.027923	197.326002	0.002306	11.5
594	-0.000425	197.155600	0.000086	11.9
